jurisdiction,year,quarter,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,census_county_name,fips_state_code,fips_county_code,fips_state_county_code
Madera Corrections Department,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Madera County,06,039,06039
Marin Sheriff's Department,2018,2,1,1,105,485,20,NA,59904,22988,20,14,47,Marin County,06,041,06041
Mariposa Sheriff's Department,2018,2,0,0,99,919,0,0,5648.17,1693.81,21.4,16.8,34.3,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2018,2,NA,NA,143,1226,5,3,28138,7474.03,NA,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2018,2,0,0,0,0,1,3,NA,NA,32.9,25.6,41.1,Merced County,06,047,06047
Modoc Sheriff's Department,2018,2,3,2,96,212,1,1,9448.69,7264.18,NA,NA,30,Modoc County,06,049,06049
Mono Sheriff's Department,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2018,2,NA,NA,2894,7835,0,0,63369.759999999995,12728.88,29,21.3,41,Monterey County,06,053,06053
Napa Corrections Department,2018,2,2,NA,1125,4569,0,2,56262,32867,18,21,18,Napa County,06,055,06055
Nevada Sheriff's Department,2018,2,NA,NA,NA,NA,NA,NA,33948.82,9731.97,19,NA,46,Nevada County,06,057,06057
Orange Sheriff's Department,2018,2,10,36,30976,139896,6.2,29,904708,73981,38.1,1.4,41.7,Orange County,06,059,06059
Placer Sheriff's Department,2018,2,NA,NA,537,2344,NA,4,123192.52,28471.51,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2018,2,10,0,86,578,NA,0,19412,3933,15.5,14.1,21.8,Plumas County,06,063,06063
Riverside Sheriff's Department,2018,2,10,9,20113,206470,6.9,NA,543963.22,191864.31999999998,30.4,NA,NA,Riverside County,06,065,06065
Sacramento Sheriff's Department,2018,2,73,435,6794,29185,0,12,1173258,320474,37,29,60,Sacramento County,06,067,06067
San Benito Sheriff's Department,2018,2,0,0,604,3344,0,0,11772,3940,18,6,51,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2018,2,3,0,16617,217846,0.45,5,636940.76,189711.25,79.3,67.6,123.02,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2018,2,124,360,17372,27931,NA,27,785579,197799,27.3,12.5,77.5,San Diego County,06,073,06073
San Diego Work Furlough,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2018,2,NA,NA,12306,3588,NA,15,882650,239500,24.439999999999998,9.9,94.48,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2018,2,NA,NA,NA,NA,0,NA,NA,NA,40,4,30,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2018,2,NA,NA,1629,17912,NA,2,119115,32639,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2018,2,24,117,3136,21302,0,24,NA,NA,22,6,58,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2018,2,3,39,NA,NA,NA,6,47987,NA,28,20,NA,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2018,2,NA,NA,2657,9230,4,7,67839,34843,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2018,2,NA,NA,1291,5653,NA,3,18424,8149,NA,NA,NA,Shasta County,06,089,06089
Siskiyou Sheriff's Department,2018,2,2,2,270,1108,0,0,14502,13717,42,4,39,Siskiyou County,06,093,06093
Solano Sheriff's Department,2018,2,0,13,7e3,6e3,1,11,118498,22299.41,16.7,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2018,2,8,14,1845,11845,NA,7,228957.37,133226.76,25,8,54,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2018,2,30,NA,NA,NA,3,0,114427.72,31865.55,25,8,84,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2018,2,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2018,2,NA,NA,NA,NA,15,1,49954,19921,21,NA,38,Tehama County,06,103,06103
Trinity Sheriff's Department,2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trinity County,06,105,06105
Tulare Sheriff's Department,2018,2,NA,NA,2375,20662,4,6,NA,NA,34,17,85,Tulare County,06,107,06107
Tuolumne Sheriff's Department,2018,2,2,10,586,2526,0,0,17933.66,1583.4,NA,NA,NA,Tuolumne County,06,109,06109
Ventura Sheriff's Department,2018,2,NA,NA,5884,15177,0.01,NA,195826,25073,NA,NA,NA,Ventura County,06,111,06111
Yolo Sheriff's Department,2018,2,0,3,560,4698,NA,12,35210.46,16814.71,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2018,2,NA,NA,258,567,45,5,16969.62,3188.7,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2018,1,121,851,4362,11944,2.3,10,123941,487691.62,31,27,60,Alameda County,06,001,06001
Amador Sheriff's Department,2018,1,0,0,0,0,0,6,3435.01,587.54,19.5,2.9,49.3,Amador County,06,005,06005
Butte Sheriff's Department,2018,1,NA,NA,NA,NA,NA,NA,37761,2737,11,4,27,Butte County,06,007,06007
Calaveras Sheriff's Department,2018,1,NA,NA,144,2472,0,0,18099,3270,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2018,1,0,0,159,1665,5.479000000000001,0,2172.7,3341.3700000000003,19.87,11.25,45.32,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2018,1,NA,NA,556,1489,5,19,398561.6,73743.68000000001,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2018,1,NA,NA,NA,NA,0.01,2,NA,NA,26.7,13,73,El Dorado County,06,017,06017
Fresno Sheriff's Department,2018,1,46,183,NA,NA,9.450000000000001,6,299141,26677,33.5,23.2,30.5,Fresno County,06,019,06019
Glenn Sheriff's Department,2018,1,0,0,277,3386,0,1,6034.41,517.4499999999999,41,46,42,Glenn County,06,021,06021
Humboldt Sheriff's Department,2018,1,NA,NA,742,4538,0,9,39790.350000000006,6838.52,15.17,8.350000000000001,46.760000000000005,Humboldt County,06,023,06023
Imperial Sheriff's Department,2018,1,NA,NA,55,248,NA,3,NA,NA,9,10,10,Imperial County,06,025,06025
Inyo Sheriff's Department,2018,1,0,1,8,57,0,0,4745.44,22536,223,NA,NA,Inyo County,06,027,06027
Kern Sheriff's Department,2018,1,160,218,7335,48523,3,4,419680.27,119779.77,32.7,19.5,61.02,Kern County,06,029,06029
Kings Sheriff's Department,2018,1,NA,NA,739,1842,10,4,65192.65,10348.94,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2018,1,NA,NA,267,2256,NA,NA,31364,11770,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2018,1,NA,NA,27,95,0,0,7808,1873,16.3,3.3,76.07,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2018,1,NA,NA,62898,309556,21,NA,8371159,2336826,61.49,5.359999999999999,63.04,Los Angeles County,06,037,06037
Madera Corrections Department,2018,1,NA,NA,NA,NA,NA,2,NA,NA,27,4,55,Madera County,06,039,06039
Marin Sheriff's Department,2018,1,2,3,100,452,20,NA,22987,NA,21,15,51,Marin County,06,041,06041
Mariposa Sheriff's Department,2018,1,0,0,105,829,0,1,10530.01,2173.9500000000003,NA,NA,NA,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2018,1,NA,NA,246,2708,3,3,27636.64,5483.89,NA,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2018,1,0,0,0,0,1,47,19098.420000000002,23281.57,38.5,36.9,40.3,Merced County,06,047,06047
Modoc Sheriff's Department,2018,1,2,4,94,248,1,2,15456.25,11648.11,NA,NA,45,Modoc County,06,049,06049
Mono Sheriff's Department,2018,1,0,3,13,85,2,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2018,1,NA,NA,2908,7933,5,0,52201.94,15133.949999999999,28.5,23.3,36.6,Monterey County,06,053,06053
Napa Corrections Department,2018,1,1,NA,1148,4654,0,3,51830,26983,18,21,19,Napa County,06,055,06055
Nevada Sheriff's Department,2018,1,NA,NA,NA,NA,NA,NA,33237,5799,23,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2018,1,12,40,30935,138514,5.9,15,900918,73819,43.6,1.4,47.7,Orange County,06,059,06059
Placer Sheriff's Department,2018,1,NA,NA,498,2343,0,6,108899.37000000001,25732.58,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2018,1,0,0,77,583,NA,NA,9510,3545,12.7,10.3,21.6,Plumas County,06,063,06063
Riverside Sheriff's Department,2018,1,7,12,20157,205636,6.8,16,628811.73,245532.52,30.3,NA,NA,Riverside County,06,065,06065
Sacramento Sheriff's Department,2018,1,65,390,6580,29731,4.17,23,1479489,320666,35,26,62,Sacramento County,06,067,06067
San Benito Sheriff's Department,2018,1,0,0,413,2178,0,0,10746,3812,24,14,53,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2018,1,2,0,16682,216868,0.48900000000000005,NA,648252,160570,NA,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2018,1,126,355,17394,28834,5,22,1478301,245425,25.6,11.8,78.6,San Diego County,06,073,06073
San Diego Work Furlough,2018,1,NA,NA,NA,NA,NA,0,NA,NA,116.7,40.78,75.92,San Diego County,06,073,06073
San Francisco Sheriff's Department,2018,1,NA,NA,12235,3527,NA,10,916582,158456,29.1,14.1,107.3,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2018,1,NA,NA,NA,NA,0,NA,NA,NA,26,6,66,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2018,1,NA,NA,1648,17932,NA,4,123950,36840,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2018,1,17,124,3269,21472,0,14,NA,NA,28,7,68,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2018,1,NA,NA,NA,NA,NA,10,92633.88,NA,26,NA,17,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2018,1,70,NA,NA,NA,NA,4,294400,156669,34,51,114,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2018,1,NA,NA,2654,9415,4,5,12483,8210,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2018,1,NA,NA,1294,5733,NA,3,15413,4595,NA,NA,NA,Shasta County,06,089,06089
Siskiyou Sheriff's Department,2018,1,2,2,276,1105,1,0,NA,NA,32,5,28,Siskiyou County,06,093,06093
Solano Sheriff's Department,2018,1,1,7,7e3,6e3,1,21,182083,28932,18.9,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2018,1,3,23,1848,11259,0,3,291086,57151,26,9,57,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2018,1,22,NA,NA,NA,3,0,94204,11345,26,9,81,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2018,1,1,1,NA,NA,2,0,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2018,1,NA,NA,NA,NA,15,2,45137,22725,24,NA,35,Tehama County,06,103,06103
Trinity Sheriff's Department,2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trinity County,06,105,06105
Tulare Sheriff's Department,2018,1,NA,NA,2407,20827,NA,3,NA,NA,32.2,15.9,76.3,Tulare County,06,107,06107
Tuolumne Sheriff's Department,2018,1,7,3,624,2328,0,1,8021,119,NA,NA,NA,Tuolumne County,06,109,06109
Ventura Sheriff's Department,2018,1,NA,NA,5880,14927,0.01,NA,93843,21509,NA,NA,NA,Ventura County,06,111,06111
Yolo Sheriff's Department,2018,1,2,26,562,4610,NA,12,35604.15,13775.54,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2018,1,NA,NA,558,294,45,4,NA,NA,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2017,4,156,749,4740,10988,2.4,12,124170,488591,36,18,55,Alameda County,06,001,06001
Amador Sheriff's Department,2017,4,0,0,0,0,0,6,4946.28,826.6700000000001,26.3,3.2,64,Amador County,06,005,06005
Butte Sheriff's Department,2017,4,NA,NA,NA,NA,NA,NA,40719,2180,11,4,28,Butte County,06,007,06007
Calaveras Sheriff's Department,2017,4,NA,NA,145,2417,0,6,7862.73,680.43,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2017,4,0,0,157,1624,3.947,0,8962.730000000001,5992.72,22.12,8.06,51.49,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2017,4,NA,NA,535,1548,5,18,418189.99000000005,65242,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2017,4,NA,NA,NA,NA,0.01,1,NA,NA,24.3,12.7,64,El Dorado County,06,017,06017
Fresno Sheriff's Department,2017,4,38,202,NA,NA,9.2,6,298358,27440,33,28,37,Fresno County,06,019,06019
Glenn Sheriff's Department,2017,4,0,0,260,3364,0,1,6352,698,50,42,48,Glenn County,06,021,06021
Humboldt Sheriff's Department,2017,4,NA,NA,790,4625,0,7,30344,11721,16.47,8.93,45.839999999999996,Humboldt County,06,023,06023
Imperial Sheriff's Department,2017,4,NA,NA,326,1449,NA,5,NA,NA,9,10,12,Imperial County,06,025,06025
Inyo Sheriff's Department,2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inyo County,06,027,06027
Kern Sheriff's Department,2017,4,173,173,7315,49223,3,2,458622.35,181810.44999999998,30.2,17.5,59.1,Kern County,06,029,06029
Kings Sheriff's Department,2017,4,NA,NA,749,1836,10,4,78914.76,12537.98,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2017,4,NA,NA,282,2271,NA,NA,20015,9746,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2017,4,NA,NA,14,50,0,0,7532.22,2370.34,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2017,4,NA,NA,62960,310583,21,157,6591480,1464632,59,5,61,Los Angeles County,06,037,06037
Madera Corrections Department,2017,4,NA,NA,NA,NA,10,5,39594,2140,30,10,52,Madera County,06,039,06039
Marin Sheriff's Department,2017,4,5,2,83,380,20,NA,56902,19973,18,12,47,Marin County,06,041,06041
Mariposa Sheriff's Department,2017,4,0,0,94,920,0,0,9238.55,3079.19,NA,NA,NA,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2017,4,NA,NA,257,2842,5,1,16754,10143,NA,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2017,4,NA,NA,NA,NA,1,0,NA,12773,30.2,23.6,38.8,Merced County,06,047,06047
Modoc Sheriff's Department,2017,4,2,7,87,175,1,0,9478.49,8014.26,NA,NA,NA,Modoc County,06,049,06049
Mono Sheriff's Department,2017,4,0,1,20,118,2,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2017,4,NA,NA,2854,7917,0.005,0,111561.25,10560.4,30.7,24.3,39.9,Monterey County,06,053,06053
Napa Corrections Department,2017,4,2,NA,1116,4522,0,6,42794,14159,19,20,21,Napa County,06,055,06055
Nevada Sheriff's Department,2017,4,NA,NA,NA,NA,NA,NA,NA,4623.44,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2017,4,11,39,30758,138275,5.5,21,926672,94353,46.5,1.4,42.7,Orange County,06,059,06059
Santa Ana Police Department,2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orange County,06,059,06059
Placer Sheriff's Department,2017,4,NA,NA,527,2458,0,3,100283,28563,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2017,4,0,0,77,561,0,2,15063,4747,16.6,15.3,23.3,Plumas County,06,063,06063
Riverside Sheriff's Department,2017,4,10,11,20034,204577,7,23,559057,319848,28,NA,NA,Riverside County,06,065,06065
Sacramento Sheriff's Department,2017,4,75,416,6601,30784,5.54472,34,836282,282623,35,25,64,Sacramento County,06,067,06067
San Benito Sheriff's Department,2017,4,0,0,410,2198,0,0,19996,13404,21,10,49,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2017,4,3,16,16435,214734,0.49,10,639135,154365,NA,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2017,4,127,408,17348,28983,2,36,1660156,197321,25.8,12.1,78.5,San Diego County,06,073,06073
San Diego Work Furlough,2017,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2017,4,NA,NA,12365,3733,NA,14,668570,154866,26,12,89,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2017,4,NA,NA,NA,NA,0,NA,NA,NA,22,6,56,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2017,4,NA,NA,1615,17826,NA,3,103821,28103,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2017,4,27,147,4160,31156,0,10,NA,NA,26,7,69,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2017,4,NA,NA,NA,NA,NA,5,92989.56,NA,21,16,21,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2017,4,68,NA,NA,NA,NA,0,490628,173964,34,46,108,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2017,4,NA,NA,2636,9221,10,5,40972,55,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2017,4,NA,NA,657,5531,NA,1,21892,19507,NA,NA,NA,Shasta County,06,089,06089
Siskiyou Sheriff's Department,2017,4,2,2,NA,NA,1,0,NA,NA,NA,4,28,Siskiyou County,06,093,06093
Solano Sheriff's Department,2017,4,0,9,7e3,6e3,1,24,222564,27719,23.8,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2017,4,5,3,1757,10852,0,2,247287,36515,25,12,57,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2017,4,31,NA,NA,NA,3,1,124013,13135,26,7,88,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2017,4,2,2,NA,NA,0,1,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2017,4,NA,NA,NA,NA,15,0,51131,27207,24,NA,22,Tehama County,06,103,06103
Trinity Sheriff's Department,2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trinity County,06,105,06105
Tulare Sheriff's Department,2017,4,NA,NA,2408,20691,NA,9,NA,NA,43,32,76,Tulare County,06,107,06107
Tuolumne Sheriff's Department,2017,4,0,8,615,2116,0,0,11569,2249,NA,NA,NA,Tuolumne County,06,109,06109
Ventura Sheriff's Department,2017,4,NA,NA,5877,14745,0.02,17,126280,19537,NA,NA,NA,Ventura County,06,111,06111
Yolo Sheriff's Department,2017,4,4,22,588,4715,NA,9,26901.86,7021.54,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2017,4,NA,NA,271,506,45,4,NA,NA,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2017,3,140,732,4821,11024,2.4,13,123890,467422,32,20,56,Alameda County,06,001,06001
Amador Sheriff's Department,2017,3,0,0,0,0,0,6,8585.89,1736.08,28.3,3.9,61.5,Amador County,06,005,06005
Butte Sheriff's Department,2017,3,NA,NA,NA,NA,NA,NA,27501,2185,11,4,28,Butte County,06,007,06007
Calaveras Sheriff's Department,2017,3,NA,NA,171,2408,0,5,5302.620000000001,795.3199999999999,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2017,3,0,0,163,1417,2.631,1,4340,2675,27.12,12.65,65.64999999999999,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2017,3,NA,NA,502,1456,5,22,330200.06,40109,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2017,3,NA,NA,NA,NA,0.01,1,NA,NA,26.8,13.7,71.9,El Dorado County,06,017,06017
Fresno Sheriff's Department,2017,3,43,167,NA,NA,8.9,11,337735,40583,33.3,46.7,35.9,Fresno County,06,019,06019
Glenn Sheriff's Department,2017,3,0,0,258,1710,2,1,7279,493,46,50,47,Glenn County,06,021,06021
Humboldt Sheriff's Department,2017,3,NA,NA,802,4596,0,13,24348,12142,14.870000000000001,7.28,44.39,Humboldt County,06,023,06023
Imperial Sheriff's Department,2017,3,NA,NA,632,2382,NA,6,41350,3216,8,9,9,Imperial County,06,025,06025
Inyo Sheriff's Department,2017,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inyo County,06,027,06027
Kern Sheriff's Department,2017,3,319,282,7188,49250,3,6,388470.33,182536.2,28.6,16.5,54.6,Kern County,06,029,06029
Kings Sheriff's Department,2017,3,NA,NA,751,1847,10,8,82076,10192.630000000001,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2017,3,NA,NA,275,2273,NA,NA,32156,17787,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2017,3,NA,NA,19,63,0,0,5456.51,1114.6299999999999,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2017,3,NA,NA,63098,309597,21,143,6851515,1254331,58.96,5.18,60.58,Los Angeles County,06,037,06037
Madera Corrections Department,2017,3,NA,NA,NA,NA,5,3,45481,2145,24,7,44,Madera County,06,039,06039
Marin Sheriff's Department,2017,3,5,1,135,350,20,NA,76377,20396,20,14,47,Marin County,06,041,06041
Mariposa Sheriff's Department,2017,3,0,0,92,898,0,0,11289.54,5110.68,NA,NA,NA,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2017,3,NA,NA,185,2557,13,3,31094,5818.22,NA,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2017,3,NA,NA,NA,NA,1,NA,NA,NA,36.2,31.8,41.9,Merced County,06,047,06047
Modoc Sheriff's Department,2017,3,2,4,91,183,1,0,13069.710000000001,9428.730000000001,NA,NA,NA,Modoc County,06,049,06049
Mono Sheriff's Department,2017,3,0,1,18,91,1,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2017,3,NA,NA,2865,7799,0.009,0,138101.05,42963.97,24,17.6,35.4,Monterey County,06,053,06053
Napa Corrections Department,2017,3,2,NA,1078,4524,0,4,38779,14832,20,21,19,Napa County,06,055,06055
Nevada Sheriff's Department,2017,3,NA,NA,NA,NA,NA,NA,20846.73,2781.3700000000003,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2017,3,15,48,30684,138281,5.6,27,976547,95171,42.7,1.3,46.6,Orange County,06,059,06059
Santa Ana Police Department,2017,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orange County,06,059,06059
Placer Sheriff's Department,2017,3,NA,NA,660,2488,0,5,88679,16756,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2017,3,0,0,74,555,1.8,2,11485,4034,12.7,12.3,15.4,Plumas County,06,063,06063
Riverside Sheriff's Department,2017,3,8,15,19761,202166,7,11,570157,311037,29,NA,NA,Riverside County,06,065,06065
Sacramento Sheriff's Department,2017,3,74,377,6495,31992,3.924,19,919009,314886,35,25,64,Sacramento County,06,067,06067
San Benito Sheriff's Department,2017,3,0,0,427,2235,0,0,22207,12006,15.7,7,40.9,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2017,3,3,11,16487,213062,0.46,11,549133,173479,NA,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2017,3,157,472,17232,29325,5,23,1231347,228918,25.4,11.9,77.6,San Diego County,06,073,06073
San Diego Work Furlough,2017,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2017,3,NA,NA,12396,3670,NA,16,661182,105415,23.330000000000002,11.43,75.88,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2017,3,NA,NA,NA,NA,0,NA,NA,NA,19,8,52,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2017,3,NA,NA,1531,17152,NA,1,115307,24772,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2017,3,25,128,4147,32501,0,12,NA,NA,26,7,69,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2017,3,NA,NA,NA,NA,NA,21,151036.91999999998,NA,19,15,20,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2017,3,63,NA,NA,NA,NA,1,305077,186250,32,48,105,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2017,3,NA,NA,2617,9243,3,7,61020,33561,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2017,3,NA,NA,1235,5234,NA,5,52654,39025,NA,NA,NA,Shasta County,06,089,06089
