jurisdiction,year,quarter,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,census_county_name,fips_state_code,fips_county_code,fips_state_county_code
Alameda Sheriff's Department,2018,2,121,1790,4268,11539,2.7,9,125771,490431.77,46,36,NA,Alameda County,06,001,06001
Amador Sheriff's Department,2018,2,0,0,0,0,0,6,30452.62,296.81,26.3,3.2,64,Amador County,06,005,06005
Butte Sheriff's Department,2018,2,NA,NA,NA,NA,NA,NA,34858,4016,9,4,34,Butte County,06,007,06007
Calaveras Sheriff's Department,2018,2,NA,NA,138,2511,0,0,5589,1489,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2018,2,0,0,157,1742,4.6499999999999995,0,5483.5,3310.8,24.36,5.46,71.71000000000001,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2018,2,NA,NA,575,1502,5,16,335944.22000000003,170269.8,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2018,2,NA,NA,NA,NA,0.01,1,42203,5994,20.6,9.4,56.6,El Dorado County,06,017,06017
Fresno Sheriff's Department,2018,2,170,61,NA,NA,8.9,14,NA,NA,33.8,24.5,39,Fresno County,06,019,06019
Glenn Sheriff's Department,2018,2,0,0,275,3379,0,0,2105.18,109.41000000000001,45,49,46,Glenn County,06,021,06021
Humboldt Sheriff's Department,2018,2,NA,NA,737,4618,0,4,20780.2,6388.94,17.37,10.29,45.59,Humboldt County,06,023,06023
Imperial Sheriff's Department,2018,2,NA,NA,1083,4534,NA,5,NA,NA,6,7,6,Imperial County,06,025,06025
Inyo Sheriff's Department,2018,2,NA,NA,12,67,0,1,17841.32,17109.940000000002,243,NA,NA,Inyo County,06,027,06027
Kern Sheriff's Department,2018,2,265,177,7451,48668,3,3,451931,114151,29,16,58,Kern County,06,029,06029
Kings Sheriff's Department,2018,2,NA,NA,739,1842,10,3,66727.18000000001,15039.31,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2018,2,NA,NA,282,1396,NA,NA,30009,6629,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2018,2,NA,NA,22,65,0,0,6583,1792,18.8,6.7,67.78,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2018,2,NA,NA,61974,306110,21,NA,7778703,2366991,60.74,5.2,62.46,Los Angeles County,06,037,06037
