jurisdiction,facility,year,month,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_facility,census_county_name,fips_state_code,fips_county_code,fips_state_county_code
Alameda Sheriff's Department,Glenn E. Dyer Jail,2018,6,398,0,28,0,426,Alameda County,06,001,06001
Alameda Sheriff's Department,Santa Rita Jail,2018,6,1551,191,322,37,2101,Alameda County,06,001,06001
Amador Sheriff's Department,Amador County Jail,2018,6,34.47,7.57,45.06,10.33,97,Amador County,06,005,06005
Butte Sheriff's Department,Butte County Jail,2018,6,310,56,171,23,560,Butte County,06,007,06007
Calaveras Sheriff's Department,Calaveras Co. Adult Detention Facility,2018,6,43,5,32,6,86,Calaveras County,06,009,06009
Colusa Sheriff's Department,Colusa County Jail,2018,6,36,11,21,11,79,Colusa County,06,011,06011
Contra Costa Sheriff's Department,Contra Costa Main Jail (Martinez Det Fac),2018,6,543,7,107,17,674,Contra Costa County,06,013,06013
Contra Costa Sheriff's Department,Marsh Creek Detention Facility,2018,6,0,0,49,0,49,Contra Costa County,06,013,06013
Contra Costa Sheriff's Department,West County Detention Facility,2018,6,453,103,128,49,733,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,El Dorado County Jail,2018,6,115,17,84,31,247,El Dorado County,06,017,06017
El Dorado Sheriff's Department,South Lake Tahoe Jail,2018,6,57,8,62,11,138,El Dorado County,06,017,06017
Fresno Sheriff's Department,Fresno County Main Jail,2018,6,705,14,218,2,939,Fresno County,06,019,06019
Fresno Sheriff's Department,Fresno North Annex  Jail,2018,6,1119,0,477,0,1596,Fresno County,06,019,06019
Fresno Sheriff's Department,Fresno South Annex Jail,2018,6,166,191,27,118,502,Fresno County,06,019,06019
Glenn Sheriff's Department,Glenn County Adult Detention Facility,2018,6,58,16,20,4,98,Glenn County,06,021,06021
Humboldt Sheriff's Department,Humboldt County Jail,2018,6,246,38,94,18,396,Humboldt County,06,023,06023
