jurisdiction,facility,year,month,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_facility,census_county_name,fips_state_code,fips_county_code,fips_state_county_code
Imperial Sheriff's Department,Herbert Hughes Corr. Center,2018,6,77,10,5,5,97,Imperial County,06,025,06025
Imperial Sheriff's Department,Imperial Co (Adult Regional Det) Fac,2018,6,154,20,190,10,374,Imperial County,06,025,06025
Inyo Sheriff's Department,Inyo County Jail,2018,6,24,6,23,3,56,Inyo County,06,027,06027
Kern Sheriff's Department,Central Receiving Facility,2018,6,129,20,16,5,170,Kern County,06,029,06029
Kern Sheriff's Department,Kern County Justice Facility,2018,6,605,0,70,0,675,Kern County,06,029,06029
Kern Sheriff's Department,Lerdo Maximum,2018,6,240,16,46,17,319,Kern County,06,029,06029
Kern Sheriff's Department,Lerdo Minimum,2018,6,37,12,77,22,148,Kern County,06,029,06029
Kern Sheriff's Department,Lerdo Pretrial Facility,2018,6,462,153,17,43,675,Kern County,06,029,06029
Kings Sheriff's Department,Kings County Jail,2018,6,337,61,84,23,505,Kings County,06,031,06031
Lake Sheriff's Department,Lake County Hill Road Facility,2018,6,162,30,103,33,328,Lake County,06,033,06033
Lassen Sheriff's Department,Lassen Adult Detention Facility,2018,6,54,13,43,6,116,Lassen County,06,035,06035
Los Angeles Sheriff's Department,Century Regional Detention Center,2018,6,0,1263,0,908,2171,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Los Angeles Central Jail,2018,6,2655,0,1555,0,4210,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,North County Correctional Facility,2018,6,2402,0,1461,0,3863,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Peter Pitchess East Facility,2018,6,0,0,66,0,66,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Peter Pitchess North Facility,2018,6,824,0,620,0,1444,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Peter Pitchess South Facility,2018,6,478,0,898,0,1376,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Twin Towers Correctional Facility,2018,6,2393,14,981,4,3392,Los Angeles County,06,037,06037
Madera Corrections Department,Madera Adult Correctional Facility,2018,6,0,0,0,0,0,Madera County,06,039,06039
Marin Sheriff's Department,Marin County Jail,2018,6,205,37,68,15,325,Marin County,06,041,06041
Mariposa Sheriff's Department,Mariposa County Adult Det. Facility,2018,6,16,4,13,3,36,Mariposa County,06,043,06043
Mendocino Sheriff's Department,Mendocino Adult Detention Facility,2018,6,164,23,99,17,303,Mendocino County,06,045,06045
Merced Sheriff's Department,John Latorraca Corr Fac,2018,6,333,56,31,3,423,Merced County,06,047,06047
Merced Sheriff's Department,Merced County Jail,2018,6,160,6,6,0,172,Merced County,06,047,06047
Modoc Sheriff's Department,Modoc County Jail,2018,6,19,4,11,2,36,Modoc County,06,049,06049
Mono Sheriff's Department,Mono County Jail,2018,6,14,2,13,0,29,Mono County,06,051,06051
Monterey Sheriff's Department,Monterey County Jail,2018,6,464,72,286,54,876,Monterey County,06,053,06053
Monterey Sheriff's Department,Monterey County Rehabilitation,2018,6,0,0,0,0,0,Monterey County,06,053,06053
Napa Corrections Department,Napa County Jail,2018,6,133,16,60,21,230,Napa County,06,055,06055
Nevada Sheriff's Department,Wayne Brown Correctional Facility,2018,6,140,38,41,6,225,Nevada County,06,057,06057
Orange Sheriff's Department,Intake Release Center,2018,6,315,169,133,158,775,Orange County,06,059,06059
Orange Sheriff's Department,James A Musick Facility,2018,6,163,16,654,144,977,Orange County,06,059,06059
Orange Sheriff's Department,Orange County Mens Jail,2018,6,759,0,401,0,1160,Orange County,06,059,06059
Orange Sheriff's Department,Orange County Womens Jail,2018,6,0,170,0,178,348,Orange County,06,059,06059
Orange Sheriff's Department,Theo Lacy Facility,2018,6,1497,0,1724,0,3221,Orange County,06,059,06059
Placer Sheriff's Department,Placer County Main Jail,2018,6,241,34,44,7,326,Placer County,06,061,06061
Placer Sheriff's Department,So. Placer Minimum Security,2018,6,8,0,108,0,116,Placer County,06,061,06061
Placer Sheriff's Department,South Placer Jail,2018,6,208,5,35,48,296,Placer County,06,061,06061
Plumas Sheriff's Department,Plumas County Jail,2018,6,21.77,6.17,9.9,1.47,39,Plumas County,06,063,06063
Riverside Sheriff's Department,Blythe Jail,2018,6,54,0,58,0,112,Riverside County,06,065,06065
Riverside Sheriff's Department,Indio Jail,2018,6,252,35,67,18,372,Riverside County,06,065,06065
Riverside Sheriff's Department,Larry D Smith Correctional Facility,2018,6,899,131,376,81,1487,Riverside County,06,065,06065
Riverside Sheriff's Department,Robert Presley Detention Center,2018,6,473,128,144,33,778,Riverside County,06,065,06065
Riverside Sheriff's Department,Southwest County Detention Center,2018,6,666,6,258,1,931,Riverside County,06,065,06065
Sacramento Sheriff's Department,Rio Cosumnes Correctional Center,2018,6,463,36,916,183,1598,Sacramento County,06,067,06067
Sacramento Sheriff's Department,Sacramento County Main Jail,2018,6,1372,168,408,57,2005,Sacramento County,06,067,06067
San Benito Sheriff's Department,San Benito Adult Detention,2018,6,72,12,42,7,133,San Benito County,06,069,06069
San Bernardino Sheriff's Department,San Bernardino Central Detention Center,2018,6,356,173,167,58,754,San Bernardino County,06,071,06071
San Bernardino Sheriff's Department,San Bernardino County- Glen Helen,2018,6,337,126,417,125,1005,San Bernardino County,06,071,06071
San Bernardino Sheriff's Department,San Bernardino High Desert Detention Center,2018,6,900,0,338,0,1238,San Bernardino County,06,071,06071
San Bernardino Sheriff's Department,West Valley Detention Center,2018,6,1783,276,346,72,2477,San Bernardino County,06,071,06071
San Diego Sheriff's Department,East Mesa Detention Facility,2018,6,159,0,550,0,709,San Diego County,06,073,06073
San Diego Sheriff's Department,George Bailey Detention Facility,2018,6,767,0,826,0,1593,San Diego County,06,073,06073
San Diego Sheriff's Department,Las Colinas Women's Detention,2018,6,0,406,0,396,802,San Diego County,06,073,06073
San Diego Sheriff's Department,San Diego Central Detention,2018,6,678,0,294,0,972,San Diego County,06,073,06073
San Diego Sheriff's Department,San Diego Facility #8,2018,6,94,0,70,0,164,San Diego County,06,073,06073
San Diego Sheriff's Department,South Bay Regional Facility- Chula Vista,2018,6,209,0,152,0,361,San Diego County,06,073,06073
San Diego Sheriff's Department,Vista Facility,2018,6,432,52,310,18,812,San Diego County,06,073,06073
San Diego Work Furlough,Wk. Furlough/Corr. Alternative,2018,6,0,0,0,0,0,San Diego County,06,073,06073
San Francisco Sheriff's Department,San Francisco County Jail #2,2018,6,101.89,97.58,18,17,234,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #3,2018,6,0,0,0,0,0,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #4,2018,6,277.07,0,48.949999999999996,0,326,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #5,2018,6,578.48,0,102.09,0,681,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,San Joaquin Honor Farm,2018,6,15,6,159,32,212,San Joaquin County,06,077,06077
San Joaquin Sheriff's Department,San Joaquin Main (J. Zunino) Jail,2018,6,714,77,210,25,1026,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,San Luis Obispo County Jail,2018,6,232,31,177,45,485,San Luis Obispo County,06,079,06079
San Luis Obispo Sheriff's Department,San Luis Obispo Honor Farm,2018,6,6,0,47,0,53,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,Maguire Facility,2018,6,386,4,134,0,524,San Mateo County,06,081,06081
San Mateo Sheriff's Department,Maple St. Correctional Facility,2018,6,173,58,139,51,421,San Mateo County,06,081,06081
San Mateo Sheriff's Department,SM Transitional Facility,2018,6,0,0,17,8,25,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,Santa Barbara County Main Jail,2018,6,508,83,297,51,939,Santa Barbara County,06,083,06083
Santa Barbara Sheriff's Department,Santa Barbara Medium Security Facility,2018,6,0,0,0,0,0,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,Elmwood Complex - Women's Fac,2018,6,0,0,0,0,0,Santa Clara County,06,085,06085
Santa Clara Corrections Department,Elmwood Complex-Mens' Fac,2018,6,0,0,0,0,0,Santa Clara County,06,085,06085
Santa Clara Corrections Department,Santa Clara County Main Jail,2018,6,0,0,0,0,0,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,Santa Cruz Blaine Womens Minimum,2018,6,0,5,0,6,11,Santa Cruz County,06,087,06087
Santa Cruz Sheriff's Department,Santa Cruz Main Jail (Water Street),2018,6,254,28,71,4,357,Santa Cruz County,06,087,06087
Santa Cruz Sheriff's Department,Santa Cruz Rountree Medium,2018,6,37,0,41,0,78,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,Shasta County Main Jail,2018,6,216,41,79,12,348,Shasta County,06,089,06089
Siskiyou Sheriff's Department,Siskiyou County Jail,2018,6,77,9,10,5,101,Siskiyou County,06,093,06093
Solano Sheriff's Department,Claybank Facility,2018,6,130,26,77,13,246,Solano County,06,095,06095
Solano Sheriff's Department,Solano County Justice Center,2018,6,190,39,37,7,273,Solano County,06,095,06095
Solano Sheriff's Department,Stanton Correctional Facility,2018,6,185,0,51,0,236,Solano County,06,095,06095
Sonoma Sheriff's Department,North County Detention Facility,2018,6,164,0,205,0,369,Sonoma County,06,097,06097
Sonoma Sheriff's Department,Sonoma County Main Adult Detention,2018,6,354,98,206,79,737,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,Stanislaus Co. Public Safety Center,2018,6,544,89,98,25,756,Stanislaus County,06,099,06099
Stanislaus Sheriff's Department,Stanislaus REACT Center,2018,6,14,9,53,29,105,Stanislaus County,06,099,06099
Stanislaus Sheriff's Department,StnCo Public Safety Center Units 1&2,2018,6,176,0,145,0,321,Stanislaus County,06,099,06099
Sutter Sheriff's Department,Sutter County Jail,2018,6,123,19,60,31,233,Sutter County,06,101,06101
Tehama Sheriff's Department,Tehama County Jail,2018,6,91,11,66,14,182,Tehama County,06,103,06103
Trinity Sheriff's Department,Trinity County Jail,2018,6,0,0,0,0,0,Trinity County,06,105,06105
Tulare Sheriff's Department,Bob Wiley Detention Center,2018,6,351,86,161,78,676,Tulare County,06,107,06107
Tulare Sheriff's Department,Mens Correctional Facility,2018,6,97,0,131,0,228,Tulare County,06,107,06107
Tulare Sheriff's Department,Tulare Co. Adult Pre-Trial Facility,2018,6,216,16,103,28,363,Tulare County,06,107,06107
Tulare Sheriff's Department,Tulare County Jail,2018,6,179,0,88,0,267,Tulare County,06,107,06107
Tuolumne Sheriff's Department,Tuolumne County Jail,2018,6,90,26,23,6,145,Tuolumne County,06,109,06109
Ventura Sheriff's Department,Ventura County Main Jail,2018,6,458,9,238,3,708,Ventura County,06,111,06111
Ventura Sheriff's Department,Ventura County Todd Road,2018,6,277,106,248,86,717,Ventura County,06,111,06111
Yolo Sheriff's Department,Leinberger Center,2018,6,21,4,33,6,64,Yolo County,06,113,06113
Yolo Sheriff's Department,Monroe Detention Center,2018,6,162,23,61,7,253,Yolo County,06,113,06113
Yuba Sheriff's Department,Yuba County Jail,2018,6,268,31,47,9,355,Yuba County,06,115,06115
Alameda Sheriff's Department,Glenn E. Dyer Jail,2018,5,391,0,30,0,421,Alameda County,06,001,06001
Alameda Sheriff's Department,Santa Rita Jail,2018,5,1527,195,363,43,2128,Alameda County,06,001,06001
Amador Sheriff's Department,Amador County Jail,2018,5,36.03,7.319999999999999,49.94,10.739999999999998,104,Amador County,06,005,06005
Butte Sheriff's Department,Butte County Jail,2018,5,303,57,181,23,564,Butte County,06,007,06007
Calaveras Sheriff's Department,Calaveras Co. Adult Detention Facility,2018,5,45,8,37,7,97,Calaveras County,06,009,06009
Colusa Sheriff's Department,Colusa County Jail,2018,5,35,13,23,8,79,Colusa County,06,011,06011
Contra Costa Sheriff's Department,Contra Costa Main Jail (Martinez Det Fac),2018,5,541,14,107,12,674,Contra Costa County,06,013,06013
Contra Costa Sheriff's Department,Marsh Creek Detention Facility,2018,5,0,0,52,0,52,Contra Costa County,06,013,06013
Contra Costa Sheriff's Department,West County Detention Facility,2018,5,415,149,131,58,753,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,El Dorado County Jail,2018,5,127,21,80,25,253,El Dorado County,06,017,06017
El Dorado Sheriff's Department,South Lake Tahoe Jail,2018,5,51,7,66,13,137,El Dorado County,06,017,06017
Fresno Sheriff's Department,Fresno County Main Jail,2018,5,709,16,224,1,950,Fresno County,06,019,06019
Fresno Sheriff's Department,Fresno North Annex  Jail,2018,5,1076,0,490,0,1566,Fresno County,06,019,06019
Fresno Sheriff's Department,Fresno South Annex Jail,2018,5,166,207,29,113,515,Fresno County,06,019,06019
Glenn Sheriff's Department,Glenn County Adult Detention Facility,2018,5,55,14,25,9,103,Glenn County,06,021,06021
Humboldt Sheriff's Department,Humboldt County Jail,2018,5,234,47,101,23,405,Humboldt County,06,023,06023
Imperial Sheriff's Department,Herbert Hughes Corr. Center,2018,5,84,11,6,6,107,Imperial County,06,025,06025
Imperial Sheriff's Department,Imperial Co (Adult Regional Det) Fac,2018,5,169,22,205,11,407,Imperial County,06,025,06025
Inyo Sheriff's Department,Inyo County Jail,2018,5,31,4,22,5,62,Inyo County,06,027,06027
Kern Sheriff's Department,Central Receiving Facility,2018,5,105,21,17,4,147,Kern County,06,029,06029
Kern Sheriff's Department,Kern County Justice Facility,2018,5,343,0,48,0,391,Kern County,06,029,06029
Kern Sheriff's Department,Lerdo Maximum,2018,5,300,0,80,0,380,Kern County,06,029,06029
Kern Sheriff's Department,Lerdo Minimum,2018,5,123,32,139,52,346,Kern County,06,029,06029
Kern Sheriff's Department,Lerdo Pretrial Facility,2018,5,604,132,51,21,808,Kern County,06,029,06029
Kings Sheriff's Department,Kings County Jail,2018,5,337,57,81,25,500,Kings County,06,031,06031
Lake Sheriff's Department,Lake County Hill Road Facility,2018,5,150,26,101,30,307,Lake County,06,033,06033
Lassen Sheriff's Department,Lassen Adult Detention Facility,2018,5,51,8,46,6,111,Lassen County,06,035,06035
Los Angeles Sheriff's Department,Century Regional Detention Center,2018,5,0,1218,0,926,2144,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Los Angeles Central Jail,2018,5,2731,0,1496,0,4227,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,North County Correctional Facility,2018,5,2318,0,1510,0,3828,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Peter Pitchess East Facility,2018,5,1,0,50,0,51,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Peter Pitchess North Facility,2018,5,817,0,621,0,1438,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Peter Pitchess South Facility,2018,5,471,0,917,0,1388,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Twin Towers Correctional Facility,2018,5,2345,18,979,4,3346,Los Angeles County,06,037,06037
Madera Corrections Department,Madera Adult Correctional Facility,2018,5,0,0,0,0,0,Madera County,06,039,06039
Marin Sheriff's Department,Marin County Jail,2018,5,201,37,66,13,317,Marin County,06,041,06041
Mariposa Sheriff's Department,Mariposa County Adult Det. Facility,2018,5,12,6,13,4,35,Mariposa County,06,043,06043
Mendocino Sheriff's Department,Mendocino Adult Detention Facility,2018,5,176,15,92,22,305,Mendocino County,06,045,06045
Merced Sheriff's Department,John Latorraca Corr Fac,2018,5,336,58,26,1,421,Merced County,06,047,06047
Merced Sheriff's Department,Merced County Jail,2018,5,170,5,5,0,180,Merced County,06,047,06047
Modoc Sheriff's Department,Modoc County Jail,2018,5,19,3,10,1,33,Modoc County,06,049,06049
Mono Sheriff's Department,Mono County Jail,2018,5,16,1,15,1,33,Mono County,06,051,06051
Monterey Sheriff's Department,Monterey County Jail,2018,5,462,70,292,56,880,Monterey County,06,053,06053
Monterey Sheriff's Department,Monterey County Rehabilitation,2018,5,0,0,0,0,0,Monterey County,06,053,06053
Napa Corrections Department,Napa County Jail,2018,5,126,20,62,13,221,Napa County,06,055,06055
Nevada Sheriff's Department,Wayne Brown Correctional Facility,2018,5,136,36,40,7,219,Nevada County,06,057,06057
Orange Sheriff's Department,Intake Release Center,2018,5,315,157,126,169,767,Orange County,06,059,06059
Orange Sheriff's Department,James A Musick Facility,2018,5,161,17,558,145,881,Orange County,06,059,06059
Orange Sheriff's Department,Orange County Mens Jail,2018,5,754,0,371,0,1125,Orange County,06,059,06059
Orange Sheriff's Department,Orange County Womens Jail,2018,5,0,163,0,178,341,Orange County,06,059,06059
Orange Sheriff's Department,Theo Lacy Facility,2018,5,1491,0,1653,0,3144,Orange County,06,059,06059
Placer Sheriff's Department,Placer County Main Jail,2018,5,248,33,45,8,334,Placer County,06,061,06061
Placer Sheriff's Department,So. Placer Minimum Security,2018,5,8,0,109,0,117,Placer County,06,061,06061
Placer Sheriff's Department,South Placer Jail,2018,5,208,4,35,40,287,Placer County,06,061,06061
Plumas Sheriff's Department,Plumas County Jail,2018,5,27.19,6.74,10.52,1.52,46,Plumas County,06,063,06063
Riverside Sheriff's Department,Blythe Jail,2018,5,55,0,59,0,114,Riverside County,06,065,06065
Riverside Sheriff's Department,Indio Jail,2018,5,221,48,69,22,360,Riverside County,06,065,06065
Riverside Sheriff's Department,Larry D Smith Correctional Facility,2018,5,892,123,387,81,1483,Riverside County,06,065,06065
Riverside Sheriff's Department,Robert Presley Detention Center,2018,5,483,121,165,28,797,Riverside County,06,065,06065
Riverside Sheriff's Department,Southwest County Detention Center,2018,5,659,5,264,0,928,Riverside County,06,065,06065
Sacramento Sheriff's Department,Rio Cosumnes Correctional Center,2018,5,504,25,894,160,1583,Sacramento County,06,067,06067
Sacramento Sheriff's Department,Sacramento County Main Jail,2018,5,1328,151,396,60,1935,Sacramento County,06,067,06067
San Benito Sheriff's Department,San Benito Adult Detention,2018,5,73,14,38,8,133,San Benito County,06,069,06069
San Bernardino Sheriff's Department,San Bernardino Central Detention Center,2018,5,338,179,176,73,766,San Bernardino County,06,071,06071
San Bernardino Sheriff's Department,San Bernardino County- Glen Helen,2018,5,303,112,429,125,969,San Bernardino County,06,071,06071
San Bernardino Sheriff's Department,San Bernardino High Desert Detention Center,2018,5,898,0,325,0,1223,San Bernardino County,06,071,06071
San Bernardino Sheriff's Department,West Valley Detention Center,2018,5,1695,269,383,64,2411,San Bernardino County,06,071,06071
San Diego Sheriff's Department,East Mesa Detention Facility,2018,5,143,0,567,0,710,San Diego County,06,073,06073
San Diego Sheriff's Department,George Bailey Detention Facility,2018,5,767,0,842,0,1609,San Diego County,06,073,06073
San Diego Sheriff's Department,Las Colinas Women's Detention,2018,5,0,382,0,399,781,San Diego County,06,073,06073
San Diego Sheriff's Department,San Diego Central Detention,2018,5,642,0,317,0,959,San Diego County,06,073,06073
San Diego Sheriff's Department,San Diego Facility #8,2018,5,90,0,106,0,196,San Diego County,06,073,06073
San Diego Sheriff's Department,South Bay Regional Facility- Chula Vista,2018,5,212,0,170,0,382,San Diego County,06,073,06073
San Diego Sheriff's Department,Vista Facility,2018,5,420,45,309,20,794,San Diego County,06,073,06073
San Diego Work Furlough,Wk. Furlough/Corr. Alternative,2018,5,0,0,0,0,0,San Diego County,06,073,06073
San Francisco Sheriff's Department,San Francisco County Jail #2,2018,5,106.47,100.71000000000001,18.79,17.77,244,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #3,2018,5,0,0,0,0,0,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #4,2018,5,275.26,0,48.58,0,324,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #5,2018,5,571.31,0,100.82,0,672,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,San Joaquin Honor Farm,2018,5,24,8,160,32,224,San Joaquin County,06,077,06077
San Joaquin Sheriff's Department,San Joaquin Main (J. Zunino) Jail,2018,5,779,81,145,18,1023,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,San Luis Obispo County Jail,2018,5,221,34,177,39,471,San Luis Obispo County,06,079,06079
San Luis Obispo Sheriff's Department,San Luis Obispo Honor Farm,2018,5,4,0,47,0,51,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,Maguire Facility,2018,5,382,4,122,0,508,San Mateo County,06,081,06081
San Mateo Sheriff's Department,Maple St. Correctional Facility,2018,5,151,60,146,52,409,San Mateo County,06,081,06081
San Mateo Sheriff's Department,SM Transitional Facility,2018,5,0,0,16,10,26,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,Santa Barbara County Main Jail,2018,5,514,69,304,44,931,Santa Barbara County,06,083,06083
Santa Barbara Sheriff's Department,Santa Barbara Medium Security Facility,2018,5,0,0,0,0,0,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,Elmwood Complex - Women's Fac,2018,5,0,0,0,0,0,Santa Clara County,06,085,06085
Santa Clara Corrections Department,Elmwood Complex-Mens' Fac,2018,5,0,0,0,0,0,Santa Clara County,06,085,06085
Santa Clara Corrections Department,Santa Clara County Main Jail,2018,5,0,0,0,0,0,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,Santa Cruz Blaine Womens Minimum,2018,5,0,4,0,12,16,Santa Cruz County,06,087,06087
Santa Cruz Sheriff's Department,Santa Cruz Main Jail (Water Street),2018,5,244,23,63,4,334,Santa Cruz County,06,087,06087
Santa Cruz Sheriff's Department,Santa Cruz Rountree Medium,2018,5,46,0,4,0,50,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,Shasta County Main Jail,2018,5,217,40,80,14,351,Shasta County,06,089,06089
Siskiyou Sheriff's Department,Siskiyou County Jail,2018,5,77,9,8,5,99,Siskiyou County,06,093,06093
Solano Sheriff's Department,Claybank Facility,2018,5,123,20,80,13,236,Solano County,06,095,06095
Solano Sheriff's Department,Solano County Justice Center,2018,5,187,43,38,9,277,Solano County,06,095,06095
Solano Sheriff's Department,Stanton Correctional Facility,2018,5,170,0,52,0,222,Solano County,06,095,06095
Sonoma Sheriff's Department,North County Detention Facility,2018,5,167,0,191,0,358,Sonoma County,06,097,06097
Sonoma Sheriff's Department,Sonoma County Main Adult Detention,2018,5,349,96,200,76,721,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,Stanislaus Co. Public Safety Center,2018,5,557,101,114,43,815,Stanislaus County,06,099,06099
Stanislaus Sheriff's Department,Stanislaus REACT Center,2018,5,2,3,12,7,24,Stanislaus County,06,099,06099
Stanislaus Sheriff's Department,StnCo Public Safety Center Units 1&2,2018,5,180,0,168,0,348,Stanislaus County,06,099,06099
Sutter Sheriff's Department,Sutter County Jail,2018,5,138,12,52,22,224,Sutter County,06,101,06101
Tehama Sheriff's Department,Tehama County Jail,2018,5,102,24,57,13,196,Tehama County,06,103,06103
Trinity Sheriff's Department,Trinity County Jail,2018,5,0,0,0,0,0,Trinity County,06,105,06105
Tulare Sheriff's Department,Bob Wiley Detention Center,2018,5,368,95,143,69,675,Tulare County,06,107,06107
Tulare Sheriff's Department,Mens Correctional Facility,2018,5,100,0,125,0,225,Tulare County,06,107,06107
Tulare Sheriff's Department,Tulare Co. Adult Pre-Trial Facility,2018,5,211,20,109,26,366,Tulare County,06,107,06107
Tulare Sheriff's Department,Tulare County Jail,2018,5,179,0,89,0,268,Tulare County,06,107,06107
Tuolumne Sheriff's Department,Tuolumne County Jail,2018,5,87,28,25,5,145,Tuolumne County,06,109,06109
Ventura Sheriff's Department,Ventura County Main Jail,2018,5,433,10,250,3,696,Ventura County,06,111,06111
Ventura Sheriff's Department,Ventura County Todd Road,2018,5,297,96,250,96,739,Ventura County,06,111,06111
Yolo Sheriff's Department,Leinberger Center,2018,5,26,2,31,5,64,Yolo County,06,113,06113
Yolo Sheriff's Department,Monroe Detention Center,2018,5,157,25,62,7,251,Yolo County,06,113,06113
Yuba Sheriff's Department,Yuba County Jail,2018,5,265,27,43,10,345,Yuba County,06,115,06115
Alameda Sheriff's Department,Glenn E. Dyer Jail,2018,4,384,0,31,0,415,Alameda County,06,001,06001
Alameda Sheriff's Department,Santa Rita Jail,2018,4,1545,201,366,48,2160,Alameda County,06,001,06001
Amador Sheriff's Department,Amador County Jail,2018,4,28.27,8.93,47.27,9.76,94,Amador County,06,005,06005
Butte Sheriff's Department,Butte County Jail,2018,4,299,56,181,25,561,Butte County,06,007,06007
Calaveras Sheriff's Department,Calaveras Co. Adult Detention Facility,2018,4,43,7,38,11,99,Calaveras County,06,009,06009
Colusa Sheriff's Department,Colusa County Jail,2018,4,39,9,28,9,85,Colusa County,06,011,06011
Contra Costa Sheriff's Department,Contra Costa Main Jail (Martinez Det Fac),2018,4,512,12,111,8,643,Contra Costa County,06,013,06013
Contra Costa Sheriff's Department,Marsh Creek Detention Facility,2018,4,0,0,57,0,57,Contra Costa County,06,013,06013
Contra Costa Sheriff's Department,West County Detention Facility,2018,4,388,156,138,46,728,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,El Dorado County Jail,2018,4,123,22,81,22,248,El Dorado County,06,017,06017
El Dorado Sheriff's Department,South Lake Tahoe Jail,2018,4,53,5,61,16,135,El Dorado County,06,017,06017
Fresno Sheriff's Department,Fresno County Main Jail,2018,4,719,14,216,1,950,Fresno County,06,019,06019
Fresno Sheriff's Department,Fresno North Annex  Jail,2018,4,1109,0,467,0,1576,Fresno County,06,019,06019
Fresno Sheriff's Department,Fresno South Annex Jail,2018,4,120,212,21,112,465,Fresno County,06,019,06019
Glenn Sheriff's Department,Glenn County Adult Detention Facility,2018,4,51,16,26,6,99,Glenn County,06,021,06021
Humboldt Sheriff's Department,Humboldt County Jail,2018,4,230,37,99,27,393,Humboldt County,06,023,06023
Imperial Sheriff's Department,Herbert Hughes Corr. Center,2018,4,82,11,5,5,103,Imperial County,06,025,06025
