jurisdiction,year,month,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,facility,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_facility
Alameda Sheriff's Department,2018,september,Alameda County,06,001,06001,Glen Dyer Jail,407,0,24,0,431
Alameda Sheriff's Department,2018,september,Alameda County,06,001,06001,Santa Rita Jail,1569,191,330,41,2131
Amador Sheriff's Department,2018,september,Amador County,06,005,06005,Amador County Jail,27,11,42,11,91
Butte Sheriff's Department,2018,september,Butte County,06,007,06007,Butte County Jail,297,50,163,31,541
Calaveras Sheriff's Department,2018,september,Calaveras County,06,009,06009,Calaveras Co. Adult Detention Facility,44,7,24,10,85
Colusa Sheriff's Department,2018,september,Colusa County,06,011,06011,Colusa County Jail,35,9,22,5,71
Contra Costa Sheriff's Department,2018,september,Contra Costa County,06,013,06013,Marsh Creek Detention Facility,0,0,57,0,57
Contra Costa Sheriff's Department,2018,september,Contra Costa County,06,013,06013,Martinez Detention Facility,568,23,85,7,683
Contra Costa Sheriff's Department,2018,september,Contra Costa County,06,013,06013,West County Detention Facility,255,86,156,42,539
Del Norte Sheriff's Department,2018,september,Del Norte County,06,015,06015,Del Norte County Jail,46,12,32,7,97
El Dorado Sheriff's Department,2018,september,El Dorado County,06,017,06017,El Dorado County Jail,110,19,96,29,254
El Dorado Sheriff's Department,2018,september,El Dorado County,06,017,06017,South Lake Tahoe Jail,69,10,57,12,148
Fresno Sheriff's Department,2018,september,Fresno County,06,019,06019,Fresno County Main Jail,702,17,231,1,951
Fresno Sheriff's Department,2018,september,Fresno County,06,019,06019,Fresno North Annex  Jail,1204,0,450,0,1654
Fresno Sheriff's Department,2018,september,Fresno County,06,019,06019,Fresno South Annex Jail,125,208,22,105,460
Glenn Sheriff's Department,2018,september,Glenn County,06,021,06021,Glenn Co Adult Detention Fac,65,11,27,7,110
Humboldt Sheriff's Department,2018,september,Humboldt County,06,023,06023,Humboldt Co. Corr. Facility,234,48,99,15,396
Imperial Sheriff's Department,2018,september,Imperial County,06,025,06025,Herbert Hughes Corr. Center,77,10,5,5,97
