jurisdiction,year,month,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,facility,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_facility
Imperial Sheriff's Department,2018,september,Imperial County,06,025,06025,Imperial Adult Regional Fac.,155,21,191,10,377
Inyo Sheriff's Department,2018,september,Inyo County,06,027,06027,Inyo County Jail,20,5,20,4,49
Kern Sheriff's Department,2018,september,Kern County,06,029,06029,Central Receiving Facility,130,24,22,3,179
Kern Sheriff's Department,2018,september,Kern County,06,029,06029,Kern County Justice Facility,624,0,75,0,699
Kern Sheriff's Department,2018,september,Kern County,06,029,06029,Lerdo Maximum/Medium,181,15,36,20,252
Kern Sheriff's Department,2018,september,Kern County,06,029,06029,Lerdo Minimum,44,0,73,0,117
Kern Sheriff's Department,2018,september,Kern County,06,029,06029,Lerdo Pre-Trial Facility,483,164,33,25,705
Kings Sheriff's Department,2018,september,Kings County,06,031,06031,Kings County Jail Facility,NA,NA,NA,NA,0
Lake Sheriff's Department,2018,september,Lake County,06,033,06033,Lake County Hill Road Facility,130,22,98,22,272
Lassen Sheriff's Department,2018,september,Lassen County,06,035,06035,Lassen Adult Detention Facility,45,13,51,12,121
Los Angeles Sheriff's Department,2018,september,Los Angeles County,06,037,06037,LA Century Reg. Det. Facility,0,1354,0,823,2177
Los Angeles Sheriff's Department,2018,september,Los Angeles County,06,037,06037,LA Men's Central Jail,2915,0,1531,0,4446
Los Angeles Sheriff's Department,2018,september,Los Angeles County,06,037,06037,LA North County Corr. Facility,2459,0,1399,0,3858
Los Angeles Sheriff's Department,2018,september,Los Angeles County,06,037,06037,LA Pitchess East Facility,1,0,72,0,73
Los Angeles Sheriff's Department,2018,september,Los Angeles County,06,037,06037,LA Pitchess North Facility,907,0,540,0,1447
Los Angeles Sheriff's Department,2018,september,Los Angeles County,06,037,06037,LA Pitchess South (No. Annex),564,0,843,0,1407
Los Angeles Sheriff's Department,2018,september,Los Angeles County,06,037,06037,LA Twin Towers Corr. Facility,2386,13,878,1,3278
Madera Corrections Department,2018,september,Madera County,06,039,06039,Madera Adult Correctional Fac,330,41,73,14,458
Marin Sheriff's Department,2018,september,Marin County,06,041,06041,Marin County Jail,190,30,84,16,320
Mariposa Sheriff's Department,2018,september,Mariposa County,06,043,06043,Mariposa Co. Adult Det. Fac.,12,5,12,6,35
Mendocino Sheriff's Department,2018,september,Mendocino County,06,045,06045,Mendocino Adult Det. Facility,174,24,87,14,299
Merced Sheriff's Department,2018,september,Merced County,06,047,06047,John Latorraca Correctional Center,355,53,8,1,417
Merced Sheriff's Department,2018,september,Merced County,06,047,06047,Merced County Jail,167,6,5,0,178
Modoc Sheriff's Department,2018,september,Modoc County,06,049,06049,Modoc County Jail,27,3,9,2,41
Mono Sheriff's Department,2018,september,Mono County,06,051,06051,Mono County Jail,13,1,13,1,28
Monterey Sheriff's Department,2018,september,Monterey County,06,053,06053,Monterey County Jail,325,81,278,63,747
Monterey Sheriff's Department,2018,september,Monterey County,06,053,06053,Monterey County Rehabilitation,156,0,0,0,156
Napa Corrections Department,2018,september,Napa County,06,055,06055,Napa County Jail,146,19,70,15,250
Nevada Sheriff's Department,2018,september,Nevada County,06,057,06057,Wayne Brown Correctional Facility,144,34,31,10,219
Orange Sheriff's Department,2018,september,Orange County,06,059,06059,Intake Release Center,307,172,134,169,782
Orange Sheriff's Department,2018,september,Orange County,06,059,06059,James A Musick Facilities,152,21,538,86,797
Orange Sheriff's Department,2018,september,Orange County,06,059,06059,Orange County Mens Jail,828,0,397,0,1225
Orange Sheriff's Department,2018,september,Orange County,06,059,06059,Orange County Women's Jail,0,178,0,181,359
Orange Sheriff's Department,2018,september,Orange County,06,059,06059,Theo Lacy,1520,0,1686,0,3206
Placer Sheriff's Department,2018,september,Placer County,06,061,06061,Placer County Main Jail,244,33,44,8,329
Placer Sheriff's Department,2018,september,Placer County,06,061,06061,So. Placer Minimum Security,203,4,34,44,285
Placer Sheriff's Department,2018,september,Placer County,06,061,06061,South Placer Jail,8,0,107,0,115
Plumas Sheriff's Department,2018,september,Plumas County,06,063,06063,Plumas County Jail,33,8,12,5,58
Riverside Sheriff's Department,2018,september,Riverside County,06,065,06065,Blythe Jail,59,0,54,0,113
Riverside Sheriff's Department,2018,september,Riverside County,06,065,06065,Indio Jail,215,43,67,16,341
Riverside Sheriff's Department,2018,september,Riverside County,06,065,06065,Larry D. Smith Correctional Facility,920,132,336,76,1464
Riverside Sheriff's Department,2018,september,Riverside County,06,065,06065,Robert Presley Detention Ctr.,477,119,131,43,770
Riverside Sheriff's Department,2018,september,Riverside County,06,065,06065,Southwest Detention Center,790,6,306,1,1103
Sacramento Sheriff's Department,2018,september,Sacramento County,06,067,06067,Rio Cosumnes Correctional Ctr.,552,35,989,199,1775
Sacramento Sheriff's Department,2018,september,Sacramento County,06,067,06067,Sacramento County Main Jail,1406,176,332,57,1971
San Benito Sheriff's Department,2018,september,San Benito County,06,069,06069,San Benito Adult Detention,73,14,29,5,121
San Bernardino Sheriff's Department,2018,september,San Bernardino County,06,071,06071,San Bernardino Central Detention Center,342,187,175,57,761
San Bernardino Sheriff's Department,2018,september,San Bernardino County,06,071,06071,San Bernardino County Glen Helen,344,127,433,130,1034
San Bernardino Sheriff's Department,2018,september,San Bernardino County,06,071,06071,San Bernardino High Desert Detention Center,916,0,308,0,1224
San Bernardino Sheriff's Department,2018,september,San Bernardino County,06,071,06071,West Valley Detention Center,1812,292,413,63,2580
San Diego Sheriff's Department,2018,september,San Diego County,06,073,06073,East Mesa Reentry Facility,167,0,574,0,741
San Diego Sheriff's Department,2018,september,San Diego County,06,073,06073,George Bailey Detention Facility,822,0,746,0,1568
San Diego Sheriff's Department,2018,september,San Diego County,06,073,06073,Las Colinas Women's Detention,0,432,0,403,835
San Diego Sheriff's Department,2018,september,San Diego County,06,073,06073,San Diego Central Detention,734,0,298,0,1032
San Diego Sheriff's Department,2018,september,San Diego County,06,073,06073,San Diego Facility #8,92,0,74,0,166
San Diego Sheriff's Department,2018,september,San Diego County,06,073,06073,South Bay Regional Facility- Chula Vista,237,0,172,0,409
San Diego Sheriff's Department,2018,september,San Diego County,06,073,06073,Vista Facility,423,50,328,23,824
San Diego Work Furlough,2018,september,San Diego County,06,073,06073,Wk. Furlough/Corr. Alternative,2,1,235,59,297
San Francisco Sheriff's Department,2018,september,San Francisco County,06,075,06075,San Francisco County Jail #2,139,122,25,22,308
San Francisco Sheriff's Department,2018,september,San Francisco County,06,075,06075,San Francisco County Jail #3,0,0,0,0,0
San Francisco Sheriff's Department,2018,september,San Francisco County,06,075,06075,San Francisco County Jail #4,260,0,46,0,306
San Francisco Sheriff's Department,2018,september,San Francisco County,06,075,06075,San Francisco County Jail #5,579,0,102,0,681
San Joaquin Sheriff's Department,2018,september,San Joaquin County,06,077,06077,John J. Zunino Facility,782,95,174,23,1074
San Joaquin Sheriff's Department,2018,september,San Joaquin County,06,077,06077,San Joaquin County Honor Farm,5,5,180,40,230
San Luis Obispo Sheriff's Department,2018,september,San Luis Obispo County,06,079,06079,San Luis Obispo County Jail,247,33,178,26,484
San Luis Obispo Sheriff's Department,2018,september,San Luis Obispo County,06,079,06079,San Luis Obispo Honor Farm,5,1,41,12,59
San Mateo Sheriff's Department,2018,september,San Mateo County,06,081,06081,Maguire Correctional Facility,389,3,118,0,510
San Mateo Sheriff's Department,2018,september,San Mateo County,06,081,06081,Maple Street Correctional Facility,199,63,149,40,451
San Mateo Sheriff's Department,2018,september,San Mateo County,06,081,06081,SM Transitional Facility,0,0,24,10,34
Santa Barbara Sheriff's Department,2018,september,Santa Barbara County,06,083,06083,Medium Security Facility,0,0,0,0,0
Santa Barbara Sheriff's Department,2018,september,Santa Barbara County,06,083,06083,Santa Barbara County Main Jail,552,92,329,59,1032
Santa Clara Corrections Department,2018,september,Santa Clara County,06,085,06085,Elmwood Complex - Men's facility,1604,0,690,0,2294
Santa Clara Corrections Department,2018,september,Santa Clara County,06,085,06085,Elmwood Complex - Women's Facility,0,330,0,147,477
Santa Clara Corrections Department,2018,september,Santa Clara County,06,085,06085,Santa Clara County Main Jail,664,0,86,0,750
Santa Cruz Sheriff's Department,2018,september,Santa Cruz County,06,087,06087,Santa Cruz Blaine Womens Min,0,7,0,9,16
Santa Cruz Sheriff's Department,2018,september,Santa Cruz County,06,087,06087,Santa Cruz Main Jail,257,29,78,7,371
Santa Cruz Sheriff's Department,2018,september,Santa Cruz County,06,087,06087,Santa Cruz Medium Security,44,0,39,0,83
Shasta Sheriff's Department,2018,september,Shasta County,06,089,06089,Shasta County Main Jail,229,42,68,16,355
Siskiyou Sheriff's Department,2018,september,Siskiyou County,06,093,06093,Siskiyou County Jail,NA,NA,NA,NA,0
Solano Sheriff's Department,2018,september,Solano County,06,095,06095,Claybank Facility,121,21,51,12,205
Solano Sheriff's Department,2018,september,Solano County,06,095,06095,Solano County Justice Center,219,54,44,11,328
Solano Sheriff's Department,2018,september,Solano County,06,095,06095,Stanton Correctional Facility,191,0,42,0,233
Sonoma Sheriff's Department,2018,september,Sonoma County,06,097,06097,Sonoma Main Adult Detention,358,100,198,70,726
Sonoma Sheriff's Department,2018,september,Sonoma County,06,097,06097,Sonoma-North County Facility,120,0,173,0,293
Stanislaus Sheriff's Department,2018,september,Stanislaus County,06,099,06099,Public Safety Cntr Units 1 & 2,174,1,115,0,290
Stanislaus Sheriff's Department,2018,september,Stanislaus County,06,099,06099,REACT Center,37,16,91,23,167
Stanislaus Sheriff's Department,2018,september,Stanislaus County,06,099,06099,Stanislaus Co. Public Safety Center,568,89,90,26,773
Sutter Sheriff's Department,2018,september,Sutter County,06,101,06101,Sutter County Jail,NA,NA,NA,NA,0
Tehama Sheriff's Department,2018,september,Tehama County,06,103,06103,Tehama County Jail,108,16,54,16,194
Trinity Sheriff's Department,2018,september,Trinity County,06,105,06105,Trinity Co. Detention Facility,49,6,7,2,64
Tulare Sheriff's Department,2018,september,Tulare County,06,107,06107,Bob Wiley Detention Facility,180,31,99,41,351
Tulare Sheriff's Department,2018,september,Tulare County,06,107,06107,Men's Correctional Facility,177,0,89,0,266
Tulare Sheriff's Department,2018,september,Tulare County,06,107,06107,Pre-Trial Facility,109,0,128,0,237
Tulare Sheriff's Department,2018,september,Tulare County,06,107,06107,Tulare County Jail,354,74,156,70,654
Tuolumne Sheriff's Department,2018,september,Tuolumne County,06,109,06109,Tuolumne County Jail,94,23,20,6,143
Ventura Sheriff's Department,2018,september,Ventura County,06,111,06111,Todd Road Jail,317,132,263,91,803
Ventura Sheriff's Department,2018,september,Ventura County,06,111,06111,Ventura County Main Jail,483,9,279,3,774
Yolo Sheriff's Department,2018,september,Yolo County,06,113,06113,Leinberger Center,31,3,32,8,74
Yolo Sheriff's Department,2018,september,Yolo County,06,113,06113,Monroe Detention Center,167,23,65,3,258
Yuba Sheriff's Department,2018,september,Yuba County,06,115,06115,Yuba County Jail,246,32,59,5,342
Alameda Sheriff's Department,2018,may,Alameda County,06,001,06001,Glen Dyer Jail,391,0,30,0,421
Alameda Sheriff's Department,2018,may,Alameda County,06,001,06001,Santa Rita Jail,1527,195,363,43,2128
Amador Sheriff's Department,2018,may,Amador County,06,005,06005,Amador County Jail,36.03,7.319999999999999,49.94,10.739999999999998,104
Butte Sheriff's Department,2018,may,Butte County,06,007,06007,Butte County Jail,303,57,181,23,564
Calaveras Sheriff's Department,2018,may,Calaveras County,06,009,06009,Calaveras Co. Adult Detention Facility,45,8,37,7,97
Colusa Sheriff's Department,2018,may,Colusa County,06,011,06011,Colusa County Jail,35,13,23,8,79
Contra Costa Sheriff's Department,2018,may,Contra Costa County,06,013,06013,Marsh Creek Detention Facility,0,0,52,0,52
Contra Costa Sheriff's Department,2018,may,Contra Costa County,06,013,06013,Martinez Detention Facility,541,14,107,12,674
Contra Costa Sheriff's Department,2018,may,Contra Costa County,06,013,06013,West County Detention Facility,415,149,131,58,753
Del Norte Sheriff's Department,2018,may,Del Norte County,06,015,06015,Del Norte County Jail,45,7,31,10,93
El Dorado Sheriff's Department,2018,may,El Dorado County,06,017,06017,El Dorado County Jail,127,21,80,25,253
El Dorado Sheriff's Department,2018,may,El Dorado County,06,017,06017,South Lake Tahoe Jail,51,7,66,13,137
Fresno Sheriff's Department,2018,may,Fresno County,06,019,06019,Fresno County Main Jail,709,16,224,1,950
Fresno Sheriff's Department,2018,may,Fresno County,06,019,06019,Fresno North Annex  Jail,1076,0,490,0,1566
Fresno Sheriff's Department,2018,may,Fresno County,06,019,06019,Fresno South Annex Jail,166,207,29,113,515
Glenn Sheriff's Department,2018,may,Glenn County,06,021,06021,Glenn Co Adult Detention Fac,55,14,25,9,103
Humboldt Sheriff's Department,2018,may,Humboldt County,06,023,06023,Humboldt Co. Corr. Facility,234,47,101,23,405
Imperial Sheriff's Department,2018,may,Imperial County,06,025,06025,Herbert Hughes Corr. Center,84,11,6,6,107
Imperial Sheriff's Department,2018,may,Imperial County,06,025,06025,Imperial Adult Regional Fac.,169,22,205,11,407
Inyo Sheriff's Department,2018,may,Inyo County,06,027,06027,Inyo County Jail,31,4,22,5,62
Kern Sheriff's Department,2018,may,Kern County,06,029,06029,Central Receiving Facility,105,21,17,4,147
Kern Sheriff's Department,2018,may,Kern County,06,029,06029,Kern County Justice Facility,343,0,48,0,391
Kern Sheriff's Department,2018,may,Kern County,06,029,06029,Lerdo Maximum/Medium,300,0,80,0,380
Kern Sheriff's Department,2018,may,Kern County,06,029,06029,Lerdo Minimum,123,32,139,52,346
Kern Sheriff's Department,2018,may,Kern County,06,029,06029,Lerdo Pre-Trial Facility,604,132,51,21,808
Kings Sheriff's Department,2018,may,Kings County,06,031,06031,Kings County Jail Facility,337,57,81,25,500
Lake Sheriff's Department,2018,may,Lake County,06,033,06033,Lake County Hill Road Facility,150,26,101,30,307
Lassen Sheriff's Department,2018,may,Lassen County,06,035,06035,Lassen Adult Detention Facility,51,8,46,6,111
Los Angeles Sheriff's Department,2018,may,Los Angeles County,06,037,06037,LA Century Reg. Det. Facility,0,1218,0,926,2144
Los Angeles Sheriff's Department,2018,may,Los Angeles County,06,037,06037,LA Men's Central Jail,2731,0,1496,0,4227
Los Angeles Sheriff's Department,2018,may,Los Angeles County,06,037,06037,LA North County Corr. Facility,2318,0,1510,0,3828
Los Angeles Sheriff's Department,2018,may,Los Angeles County,06,037,06037,LA Pitchess East Facility,1,0,50,0,51
Los Angeles Sheriff's Department,2018,may,Los Angeles County,06,037,06037,LA Pitchess North Facility,817,0,621,0,1438
Los Angeles Sheriff's Department,2018,may,Los Angeles County,06,037,06037,LA Pitchess South (No. Annex),471,0,917,0,1388
Los Angeles Sheriff's Department,2018,may,Los Angeles County,06,037,06037,LA Twin Towers Corr. Facility,2345,18,979,4,3346
Madera Corrections Department,2018,may,Madera County,06,039,06039,Madera Adult Correctional Fac,307,38,68,13,426
Marin Sheriff's Department,2018,may,Marin County,06,041,06041,Marin County Jail,201,37,66,13,317
Mariposa Sheriff's Department,2018,may,Mariposa County,06,043,06043,Mariposa Co. Adult Det. Fac.,12,6,13,4,35
Mendocino Sheriff's Department,2018,may,Mendocino County,06,045,06045,Mendocino Adult Det. Facility,176,15,92,22,305
Merced Sheriff's Department,2018,may,Merced County,06,047,06047,John Latorraca Correctional Center,336,58,26,1,421
Merced Sheriff's Department,2018,may,Merced County,06,047,06047,Merced County Jail,170,5,5,0,180
Modoc Sheriff's Department,2018,may,Modoc County,06,049,06049,Modoc County Jail,19,3,10,1,33
Mono Sheriff's Department,2018,may,Mono County,06,051,06051,Mono County Jail,16,1,15,1,33
Monterey Sheriff's Department,2018,may,Monterey County,06,053,06053,Monterey County Jail,462,70,292,56,880
Monterey Sheriff's Department,2018,may,Monterey County,06,053,06053,Monterey County Rehabilitation,0,0,0,0,0
Napa Corrections Department,2018,may,Napa County,06,055,06055,Napa County Jail,126,20,62,13,221
Nevada Sheriff's Department,2018,may,Nevada County,06,057,06057,Wayne Brown Correctional Facility,136,36,40,7,219
Orange Sheriff's Department,2018,may,Orange County,06,059,06059,Intake Release Center,315,157,126,169,767
Orange Sheriff's Department,2018,may,Orange County,06,059,06059,James A Musick Facilities,161,17,558,145,881
Orange Sheriff's Department,2018,may,Orange County,06,059,06059,Orange County Mens Jail,754,0,371,0,1125
Orange Sheriff's Department,2018,may,Orange County,06,059,06059,Orange County Women's Jail,0,163,0,178,341
Orange Sheriff's Department,2018,may,Orange County,06,059,06059,Theo Lacy,1491,0,1653,0,3144
Placer Sheriff's Department,2018,may,Placer County,06,061,06061,Placer County Main Jail,248,33,45,8,334
Placer Sheriff's Department,2018,may,Placer County,06,061,06061,So. Placer Minimum Security,8,0,109,0,117
Placer Sheriff's Department,2018,may,Placer County,06,061,06061,South Placer Jail,208,4,35,40,287
Plumas Sheriff's Department,2018,may,Plumas County,06,063,06063,Plumas County Jail,27.19,6.74,10.52,1.52,46
Riverside Sheriff's Department,2018,may,Riverside County,06,065,06065,Blythe Jail,55,0,59,0,114
Riverside Sheriff's Department,2018,may,Riverside County,06,065,06065,Indio Jail,221,48,69,22,360
Riverside Sheriff's Department,2018,may,Riverside County,06,065,06065,Larry D. Smith Correctional Facility,892,123,387,81,1483
Riverside Sheriff's Department,2018,may,Riverside County,06,065,06065,Robert Presley Detention Ctr.,483,121,165,28,797
Riverside Sheriff's Department,2018,may,Riverside County,06,065,06065,Southwest Detention Center,659,5,264,0,928
Sacramento Sheriff's Department,2018,may,Sacramento County,06,067,06067,Rio Cosumnes Correctional Ctr.,504,25,894,160,1583
Sacramento Sheriff's Department,2018,may,Sacramento County,06,067,06067,Sacramento County Main Jail,1328,151,396,60,1935
San Benito Sheriff's Department,2018,may,San Benito County,06,069,06069,San Benito Adult Detention,73,14,38,8,133
San Bernardino Sheriff's Department,2018,may,San Bernardino County,06,071,06071,San Bernardino Central Detention Center,338,179,176,73,766
San Bernardino Sheriff's Department,2018,may,San Bernardino County,06,071,06071,San Bernardino County Glen Helen,303,112,429,125,969
San Bernardino Sheriff's Department,2018,may,San Bernardino County,06,071,06071,San Bernardino High Desert Detention Center,898,0,325,0,1223
San Bernardino Sheriff's Department,2018,may,San Bernardino County,06,071,06071,West Valley Detention Center,1695,269,383,64,2411
San Diego Sheriff's Department,2018,may,San Diego County,06,073,06073,East Mesa Reentry Facility,143,0,567,0,710
San Diego Sheriff's Department,2018,may,San Diego County,06,073,06073,George Bailey Detention Facility,767,0,842,0,1609
San Diego Sheriff's Department,2018,may,San Diego County,06,073,06073,Las Colinas Women's Detention,0,382,0,399,781
San Diego Sheriff's Department,2018,may,San Diego County,06,073,06073,San Diego Central Detention,642,0,317,0,959
San Diego Sheriff's Department,2018,may,San Diego County,06,073,06073,San Diego Facility #8,90,0,106,0,196
San Diego Sheriff's Department,2018,may,San Diego County,06,073,06073,South Bay Regional Facility- Chula Vista,212,0,170,0,382
San Diego Sheriff's Department,2018,may,San Diego County,06,073,06073,Vista Facility,420,45,309,20,794
San Diego Work Furlough,2018,may,San Diego County,06,073,06073,Wk. Furlough/Corr. Alternative,3,2,241,37,0
San Francisco Sheriff's Department,2018,may,San Francisco County,06,075,06075,San Francisco County Jail #2,106.47,100.71000000000001,18.79,17.77,244
San Francisco Sheriff's Department,2018,may,San Francisco County,06,075,06075,San Francisco County Jail #3,0,0,0,0,0
San Francisco Sheriff's Department,2018,may,San Francisco County,06,075,06075,San Francisco County Jail #4,275.26,0,48.58,0,324
San Francisco Sheriff's Department,2018,may,San Francisco County,06,075,06075,San Francisco County Jail #5,571.31,0,100.82,0,672
San Joaquin Sheriff's Department,2018,may,San Joaquin County,06,077,06077,John J. Zunino Facility,779,81,145,18,1023
San Joaquin Sheriff's Department,2018,may,San Joaquin County,06,077,06077,San Joaquin County Honor Farm,24,8,160,32,224
San Luis Obispo Sheriff's Department,2018,may,San Luis Obispo County,06,079,06079,San Luis Obispo County Jail,221,34,177,39,471
San Luis Obispo Sheriff's Department,2018,may,San Luis Obispo County,06,079,06079,San Luis Obispo Honor Farm,4,0,47,0,51
San Mateo Sheriff's Department,2018,may,San Mateo County,06,081,06081,Maguire Correctional Facility,382,4,122,0,508
San Mateo Sheriff's Department,2018,may,San Mateo County,06,081,06081,Maple Street Correctional Facility,151,60,146,52,409
San Mateo Sheriff's Department,2018,may,San Mateo County,06,081,06081,SM Transitional Facility,0,0,16,10,26
Santa Barbara Sheriff's Department,2018,may,Santa Barbara County,06,083,06083,Medium Security Facility,0,0,0,0,0
Santa Barbara Sheriff's Department,2018,may,Santa Barbara County,06,083,06083,Santa Barbara County Main Jail,514,69,304,44,931
Santa Clara Corrections Department,2018,may,Santa Clara County,06,085,06085,Elmwood Complex - Men's facility,0,0,0,0,0
Santa Clara Corrections Department,2018,may,Santa Clara County,06,085,06085,Elmwood Complex - Women's Facility,0,0,0,0,0
Santa Clara Corrections Department,2018,may,Santa Clara County,06,085,06085,Santa Clara County Main Jail,0,0,0,0,0
Santa Cruz Sheriff's Department,2018,may,Santa Cruz County,06,087,06087,Santa Cruz Blaine Womens Min,0,4,0,12,16
Santa Cruz Sheriff's Department,2018,may,Santa Cruz County,06,087,06087,Santa Cruz Main Jail,244,23,63,4,334
Santa Cruz Sheriff's Department,2018,may,Santa Cruz County,06,087,06087,Santa Cruz Medium Security,46,0,4,0,50
Shasta Sheriff's Department,2018,may,Shasta County,06,089,06089,Shasta County Main Jail,217,40,80,14,351
Siskiyou Sheriff's Department,2018,may,Siskiyou County,06,093,06093,Siskiyou County Jail,77,9,8,5,99
Solano Sheriff's Department,2018,may,Solano County,06,095,06095,Claybank Facility,123,20,80,13,236
Solano Sheriff's Department,2018,may,Solano County,06,095,06095,Solano County Justice Center,187,43,38,9,277
Solano Sheriff's Department,2018,may,Solano County,06,095,06095,Stanton Correctional Facility,170,0,52,0,222
Sonoma Sheriff's Department,2018,may,Sonoma County,06,097,06097,Sonoma Main Adult Detention,349,96,200,76,721
Sonoma Sheriff's Department,2018,may,Sonoma County,06,097,06097,Sonoma-North County Facility,167,0,191,0,358
Stanislaus Sheriff's Department,2018,may,Stanislaus County,06,099,06099,Public Safety Cntr Units 1 & 2,180,0,168,0,348
Stanislaus Sheriff's Department,2018,may,Stanislaus County,06,099,06099,REACT Center,2,3,12,7,24
Stanislaus Sheriff's Department,2018,may,Stanislaus County,06,099,06099,Stanislaus Co. Public Safety Center,557,101,114,43,815
Sutter Sheriff's Department,2018,may,Sutter County,06,101,06101,Sutter County Jail,138,12,52,22,224
Tehama Sheriff's Department,2018,may,Tehama County,06,103,06103,Tehama County Jail,102,24,57,13,196
Trinity Sheriff's Department,2018,may,Trinity County,06,105,06105,Trinity Co. Detention Facility,0,0,0,0,0
Tulare Sheriff's Department,2018,may,Tulare County,06,107,06107,Bob Wiley Detention Facility,368,95,143,69,675
Tulare Sheriff's Department,2018,may,Tulare County,06,107,06107,Men's Correctional Facility,100,0,125,0,225
Tulare Sheriff's Department,2018,may,Tulare County,06,107,06107,Pre-Trial Facility,211,20,109,26,366
Tulare Sheriff's Department,2018,may,Tulare County,06,107,06107,Tulare County Jail,179,0,89,0,268
Tuolumne Sheriff's Department,2018,may,Tuolumne County,06,109,06109,Tuolumne County Jail,87,28,25,5,145
Ventura Sheriff's Department,2018,may,Ventura County,06,111,06111,Todd Road Jail,297,96,250,96,739
Ventura Sheriff's Department,2018,may,Ventura County,06,111,06111,Ventura County Main Jail,433,10,250,3,696
Yolo Sheriff's Department,2018,may,Yolo County,06,113,06113,Leinberger Center,26,2,31,5,64
Yolo Sheriff's Department,2018,may,Yolo County,06,113,06113,Monroe Detention Center,157,25,62,7,251
Yuba Sheriff's Department,2018,may,Yuba County,06,115,06115,Yuba County Jail,265,27,43,10,345
Alameda Sheriff's Department,2018,march,Alameda County,06,001,06001,Glen Dyer Jail,375,0,31,0,406
Alameda Sheriff's Department,2018,march,Alameda County,06,001,06001,Santa Rita Jail,1539,189,397,55,2180
Amador Sheriff's Department,2018,march,Amador County,06,005,06005,Amador County Jail,31.35,9.26,42.349999999999994,8.52,91
Butte Sheriff's Department,2018,march,Butte County,06,007,06007,Butte County Jail,274,50,183,31,538
Calaveras Sheriff's Department,2018,march,Calaveras County,06,009,06009,Calaveras Co. Adult Detention Facility,45,10,43,12,110
Colusa Sheriff's Department,2018,march,Colusa County,06,011,06011,Colusa County Jail,37,10,23,9,79
Contra Costa Sheriff's Department,2018,march,Contra Costa County,06,013,06013,Marsh Creek Detention Facility,0,0,54,0,54
Contra Costa Sheriff's Department,2018,march,Contra Costa County,06,013,06013,Martinez Detention Facility,514,11,113,9,647
Contra Costa Sheriff's Department,2018,march,Contra Costa County,06,013,06013,West County Detention Facility,415,151,118,33,717
Del Norte Sheriff's Department,2018,march,Del Norte County,06,015,06015,Del Norte County Jail,54,12,30,4,100
El Dorado Sheriff's Department,2018,march,El Dorado County,06,017,06017,El Dorado County Jail,125,23,79,21,248
El Dorado Sheriff's Department,2018,march,El Dorado County,06,017,06017,South Lake Tahoe Jail,51,6,61,15,133
Fresno Sheriff's Department,2018,march,Fresno County,06,019,06019,Fresno County Main Jail,742,13,234,3,992
Fresno Sheriff's Department,2018,march,Fresno County,06,019,06019,Fresno North Annex  Jail,1122,0,485,0,1607
Fresno Sheriff's Department,2018,march,Fresno County,06,019,06019,Fresno South Annex Jail,121,209,28,115,473
Glenn Sheriff's Department,2018,march,Glenn County,06,021,06021,Glenn Co Adult Detention Fac,48,13,27,8,96
